sentence number,sentence,value (0/1)
218,"339, 340",,
219,Allegato B,,
220,1.114,,
221,"363, 364",,
222,Allegato B,,
223,974,,
224,"360, 375",,
225,Allegato B,,
226,2.133,,
227,"354, 355, 357359, 377",,
228,Allegato B,,
229,1.978,,
230,225,,
231,Allegato A,,
232,2.333,,
233,"537, 538",,
234,Allegato B,,
235,2.306,,
236,"537, 538",,
237,Allegato B,,
238,2.332,,
239,"537, 538",,
240,Allegato B,,
241,2.342,,
242,"537, 538",,
243,Allegato B,,
244,1.423,,
245,"537, 538",,
246,Allegato B,,
247,2.086,,
248,230,,
249,2.324,,
250,"537, 538",,
251,Allegato B,,
252,Bollettino Ufficiale,,
253,– 15 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
254,Branca ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA / CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA GENERALE/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA VASCOLAREANGIOLOGIA/CHIRURGIA GENERALE/CHIRURGIA PLASTICA CHIRURGIA GENERALE/ CHIRURGIA PLASTICA CHIRURGIA GENERALE/ CHIRURGIA PLASTICA CHIRURGIA GENERALE/ CHIRURGIA PLASTICA CHIRURGIA GENERALE/ CHIRURGIA PLASTICA CHIRURGIA GENERALE/ CHIRURGIA PLASTICA,,
255,Nota,,
256,Codice,,
257,IHca,,
258,78.67,,
259,IHca,,
260,78.68,,
261,IHca,,
262,78.69,,
263,IHca,,
264,80.20,,
265,IHca,,
266,82.35,,
267,IHca,,
268,83.39,,
269,IHca,,
270,84.01,,
271,IHca,,
272,"Descrizione RIMOZIONE DI DISPOSITIVO IMPIANTATO DA TIBIA E FIBULA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DA TARSO E METATARSO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DA ALTRE OSSA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ARTROSCOPIA, SEDE NON SPECIFICATA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA FASCECTOMIA DELLA MANO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI LESIONE DI ALTRI TESSUTI MOLLI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
273,"AMPUTAZIONE E DISARTICOLAZIONE DI DITA DELLA MANO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo AMPUTAZIONE E DISARTICOLAZIONE DEL POLLICE - Incluso: visita anestesiologica ed anestesia, esami 84.02 pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
274,IHca,,
275,84.11,,
276,IHca,,
277,86.63,,
278,IHca,,
279,86.66,,
280,IHca,,
281,86.67,,
282,IHca,,
283,86.69,,
284,IHca,,
285,86.89,,
286,NEFROLOGIA/UROLOGIA,,
287,IHca,,
288,98.51,,
289,CHIRURGIA GENERALE/ GASTROENTEROLOGIACHIRURGIA ED ENDOSCOPIA DIGESTIVA,,
290,IHca,,
291,98.52,,
292,ALTRE PRESTAZIONI,,
293,IHca,,
294,98.59,,
295,"AMPUTAZIONE DI DITA DEL PIEDE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo INNESTO DI CUTE A TUTTO SPESSORE IN ALTRA SEDE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo OMOINNESTO SULLA CUTE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo INNESTO DI DERMA RIGENERATIVO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRO INNESTO DI CUTE SU ALTRE SEDI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA RIPARAZIONE O RICOSTRUZIONE DI CUTE E TESSUTO SOTTOCUTANEO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo LITOTRIPSIA EXTRACORPOREA DEL RENE, URETERE E/O VESCICA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
296,Tariffa in euro,,
297,DRG di provenienza,,
298,DRG a rischio inappropriatezza (Patto per la Salute 2010-2012),,
299,2.316,,
300,"537, 538",,
301,Allegato B,,
302,1.436,,
303,"537, 538",,
304,Allegato B,,
305,2.316,,
306,"537, 538",,
307,Allegato B,,
308,1.361,,
309,232,,
310,Allegato A,,
311,1.228,,
312,"228, 229",,
313,Allegato B,,
314,1.350,,
315,"226, 227, 270",,
316,Allegato B,,
317,1.500,,
318,"229, 441",,
319,Allegato A,,
320,1.600,,
321,"229, 441",,
322,Allegato A,,
323,2.500,,
324,"114, 225",,
325,Allegato A,,
326,1.396,,
327,264-266,,
328,Allegato B,,
329,2.500 2.500 1.500,,
330,"120, 217, 263-266 120, 217, 263266, 439 120, 217, 263266, 439",,
331,Allegato B Allegato B Allegato B,,
332,1.731,,
333,"268, 443",,
334,Allegato B,,
335,472,,
336,323,,
337,Allegato A,,
338,"LITOTRIPSIA EXTRACORPOREA DELLA COLECISTI E/O DOTTO BILIARI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
339,472,,
340,208,,
341,Allegato A,,
342,"LITOTRIPSIA EXTRACORPOREA DI ALTRE SEDI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
343,472,,
344,"208, 323",,
345,Allegato A,,
346,——— • ———,,
347,Bollettino Ufficiale,,
348,– 16 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
349,ALLEGATO B PRESTAZIONI DI GENETICA MEDICA TARIFFA in euro,,
350,MATERIALE BIOLOGICO,,
351,91.29.A,,
352,MUTAZIONI DELLA FIBROSI CISTICA.,,
353,TEST DI PRIMO LIVELLO.,,
354,Ricerca delle mutazioni del gene CFTR (con qualsiasi metodo).,,
355,"Il metodo deve prevedere la ricerca di almeno 30 mutazioni Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.1 ANALISI DI MUTAZIONI DEL DNA; Con Reverse Dot Blot (da 2 a 10 mutazioni) (Blocchi di circa 400 bp).",,
356,"707,00",,
357,"Sangue periferico, liquido amniotico, villi coriali",,
358,91.29.B,,
359,MUTAZIONI DELLA FIBROSI CISTICA.,,
360,TEST DI SECONDO LIVELLO.,,
361,Ricerca delle mutazioni del gene CFTR (con qualsiasi metodo).,,
362,"Il metodo deve prevedere la ricerca in 27 esoni Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.1 ANALISI DI MUTAZIONI DEL DNA; Con Reverse Dot Blot (da 2 a 10 mutazioni) (Blocchi di circa 400 bp).",,
363,"1.331,00",,
364,Sangue periferico e altri materiali biologici,,
365,91.29.C,,
366,MUTAZIONI DELLA FIBROSI CISTICA IN FAMILIARI.,,
367,TEST MIRATO.,,
368,"Ricerca mirata delle mutazioni del gene CFTR (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
369,"274,00",,
370,Sangue periferico e altri materiali biologici,,
371,91.29.D,,
372,MUTAZIONI DEL FATTORE V LEIDEN.,,
373,"Ricerca della mutazione G1691A (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali 91.29.4 ANALISI DI MUTAZIONE DEL DNA .",,
374,Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
375,"225,00",,
376,Sangue periferico e altri materiali biologici,,
377,91.29.E,,
378,MUTAZIONI DEL FATTORE II.,,
379,"Ricerca della mutazione G20210A (con qualsiasi metodo) Incluso: n. 1 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.29.4 ANALISI DI MUTAZIONE DEL DNA .",,
380,Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
381,"225,00",,
382,Sangue periferico e altri materiali biologici,,
383,CODICE,,
384,DESCRIZIONE,,
385,APPROPRIATEZZA PRESCRITTIVA Test di primo livello.,,
386,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. accertamento dello stato di portatore di mutazioni di fibrosi cistica (CF); 2. diagnosi clinica di sospetto di CF o malattia CF-like; 3. diagnosi prenatale (su indicazione dello specialista).,,
387,Test di secondo livello.,,
388,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. identificazione di partner portatori di mutazioni genetiche negativi al test di primo livello; 2. identificazione di mutazioni rare in pazienti con diagnosi clinica di sospetto di CF o malattia CF-like negativi al test di primo livello o portatori di singola mutazione.,,
389,Test di primo livello.,,
390,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. accertamento dello stato di portatore di mutazioni di fibrosi cistica (CF) in soggetti in cui è stata identificata la mutazione nella famiglia 2. diagnosi prenatale (su indicazione dello specialista).,,
391,"Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. pazienti che abbiano sofferto di eventi trombotici, in particolare quelli avvenuti in età giovanile (< 40-45 anni); 2. fenomeni trombotici documentati in consanguinei; 3. poliabortività; 4. pazienti in terapia estroprogestinica che presentano fattori di rischio per tromboembolia; 5. complicanze della gravidanza (ad esempio pre-eclampsia, IUGR).",,
392,"Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. pazienti che abbiano sofferto di eventi trombotici, in particolare quelli avvenuti in età giovanile (< 40-45 anni); 2. fenomeni trombotici documentati in consanguinei; 3. poliabortività; 4. pazienti in terapia estroprogestinica che presentano fattori di rischio per tromboembolia; 5. complicanze della gravidanza (ad esempio pre-eclampsia, IUGR).",,
393,Bollettino Ufficiale,,
394,– 17 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
395,CODICE,,
396,91.29.F,,
397,91.29.G,,
398,91.29.H,,
399,91.29.J,,
400,91.29.K,,
401,91.29.L,,
402,91.29.M,,
403,91.29.N,,
404,DESCRIZIONE,,
405,MUTAZIONI DI MTHFR.,,
406,"Ricerca delle mutazioni C677T e A1298C (la ricerca di una o di entrambe le mutazioni, con qualsiasi metodo, corrisponde ad un’unica prestazione) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali ; 91.29.4 ANALISI DI MUTAZIONE DEL DNA .",,
407,Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
408,"MICRODELEZIONE DEL CROMOSOMA Y. Ricerca delle microdelezioni nelle regioni AZF (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.29.3 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e elettroforesi.",,
409,FRAGILITÀ DEL CROMOSOMA X (FRAXA).,,
410,TEST DI PRIMO LIVELLO.,,
411,"Studio del numero delle sequenze CCG ripetute nel gene FMR1 (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.2 ANALISI DI POLIMORFISMI (str, VNTR); Con reazione polimerasica a catena ed elettroforesi (per locus).",,
412,FRAGILITÀ DEL CROMOSOMA X (FRAXA).,,
413,TEST DI SECONDO LIVELLO.,,
414,"Studio del numero delle sequenze CCG ripetute nel gene FMR1 (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.2 ANALISI DI POLIMORFISMI (str, VNTR); Con reazione polimerasica a catena ed elettroforesi (per locus); 91.29.1 ANALISI DEL DNA ED IBRIDAZIONE CON SONDA MOLECOLARE (Southern blot).",,
415,MUTAZIONI DELLA EMOCROMATOSI.,,
416,"Ricerca delle mutazioni C282Y e H63D (la ricerca di una o entrambe le mutazioni, con qualsiasi metodo, corrisponde a un’unica prestazione) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali ; 91.29.4 ANALISI DI MUTAZIONE DEL DNA .",,
417,Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
418,MUTAZIONI DELLA ALFA-TALASSEMIA.,,
419,"Ricerca delle mutazioni del gene della alfa-globina (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.1 ANALISI DI MUTAZIONI DEL DNA; Con Reverse Dot Blot (da 2 a 10 mutazioni) MUTAZIONI DELLA BETA-TALASSEMIA.",,
420,"Ricerca delle mutazioni del gene della beta-globina (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.1 ANALISI DI MUTAZIONI DEL DNA; Con Reverse Dot Blot (da 2 a 10 mutazioni) MUTAZIONI DELLA CONNESSINA 26.",,
421,TEST COMPLETO.,,
422,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.1 ANALISI DI MUTAZIONI DEL DNA; Con Reverse Dot Blot (da 2 a 10 mutazioni).",,
423,TARIFFA in euro,,
424,MATERIALE BIOLOGICO,,
425,APPROPRIATEZZA PRESCRITTIVA,,
426,"225,00",,
427,Sangue periferico e altri materiali biologici,,
428,"Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. fattori di rischio specifico (iperomocisteinemia) 2. pazienti che abbiano sofferto di eventi trombotici, in particolare quelli avvenuti in età giovanile (< 40-45 anni); 3. fenomeni trombotici documentati in consanguinei; 4. poliabortività; 5. pazienti in terapia estroprogestinica che presentano fattori di rischio per tromboembolia.",,
429,Non è appropriato impiegare questa analisi come test di screening della trombofilia.,,
430,"293,00",,
431,Sangue periferico e altri materiali biologici,,
432,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. conferma della diagnosi clinica d’infertilità nel maschio; 2. verifica di segregazione in ambito familiare.,,
433,"235,00",,
434,"Sangue periferico, liquido amniotico, villi coriali",,
435,Test di primo livello.,,
436,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. ritardo mentale; 2. menopausa precoce; 3. iporesponsività ovarica; 4. diagnosi prenatale; 5. sindrome del tremore e atassia associata a X fragile.,,
437,"407,00",,
438,"Sangue periferico, liquido amniotico, villi coriali",,
439,Test di secondo livello.,,
440,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. ritardo mentale; 2. familiarità documentata; 3. diagnosi prenatale.,,
441,"225,00",,
442,Sangue periferico e altri materiali biologici,,
443,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. sospetto clinico di emocromatosi; 2. diagnosi precoce in pazienti con familiarità per emocromatosi.,,
444,"277,00",,
445,"Sangue periferico, liquido amniotico, villi coriali",,
446,"277,00",,
447,"Sangue periferico, liquido amniotico, villi coriali",,
448,"492,00",,
449,"Sangue periferico, liquido amniotico, villi coriali",,
450,Si considerano appropriate alla richiesta di queste analisi le seguenti indicazioni cliniche: 1. diagnosi prenatale; 2. evidenza clinica di una forma di talassemia intermedia; 3. storia familiare con rischio riproduttivo.,,
451,Si considerano appropriate alla richiesta di queste analisi le seguenti indicazioni cliniche: 1. diagnosi prenatale; 2. evidenza clinica di una forma di talassemia intermedia; 3. storia familiare con rischio riproduttivo.,,
452,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. sospetto clinico di sordità neurosensoriale; 2. diagnosi prenatale.,,
453,Bollettino Ufficiale,,
454,– 18 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 TARIFFA in euro,,
455,MATERIALE BIOLOGICO,,
456,APPROPRIATEZZA PRESCRITTIVA,,
457,"274,00",,
458,Sangue periferico e altri materiali biologici,,
459,Si considera appropriata alla richiesta di questa analisi la seguente indicazione clinica: 1. accertamento dello stato di portatore di mutazioni della connessina 26 in soggetti in cui è stata identificata la mutazione nella famiglia.,,
460,"492,00",,
461,"Sangue periferico, liquido amniotico, villi coriali",,
462,Si considerano appropriate alla richiesta di questa analisi le seguenti indicazioni cliniche: 1. sospetto clinico di sordità neurosensoriale; 2. diagnosi prenatale.,,
463,"274,00",,
464,Sangue periferico e altri materiali biologici,,
465,"1.700,00",,
466,Sangue periferico e altri materiali biologici,,
467,91.29.T,,
468,MUTAZIONI DI BRCA1 IN FAMILIARI.,,
469,TEST MIRATO.,,
470,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
471,"274,00",,
472,Sangue periferico e altri materiali biologici,,
473,91.29.U,,
474,"RIARRANGIAMENTI IN BRCA1 MEDIANTE MLPAincluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.29.1 ANALISI DEL DNA ED IBRIDAZIONE CON SONDA MOLECOLARE (Southern blot).",,
475,"406,00",,
476,Sangue periferico e altri materiali biologici,,
477,91.29.W,,
478,MUTAZIONI DI BRCA2.,,
479,TEST COMPLETO.,,
480,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp);91.38.1 RICERCA MUTAZIONE (DGGE) Ricerca heteroduplex (HA).",,
481,"2.000,00",,
482,Sangue periferico e altri materiali biologici,,
483,91.29.X,,
484,MUTAZIONI DI BRCA2 IN FAMILIARI.,,
485,TEST MIRATO.,,
486,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
487,"274,00",,
488,Sangue periferico e altri materiali biologici,,
489,91.29.Y,,
490,"RIARRANGIAMENTI IN BRCA2 MEDIANTE MLPAIncluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.29.1 ANALISI DEL DNA ED IBRIDAZIONE CON SONDA MOLECOLARE (Southern blot).",,
491,"406,00",,
492,Sangue periferico e altri materiali biologici,,
493,91.29.Z,,
494,"RIARRANGIAMENTI (DELEZIONI E DUPLICAZIONI) DI ALTRI GENI UMANI MEDIANTE MLPA e tecniche assimilabili (per ciascun gene)Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.29.1 ANALISI DEL DNA ED IBRIDAZIONE CON SONDA MOLECOLARE (Southern blot).",,
495,"406,00",,
496,"Sangue periferico, liquido amniotico, villi coriali",,
497,CODICE,,
498,91.29.P,,
499,91.29.Q,,
500,91.29.R,,
501,91.29.S,,
502,DESCRIZIONE MUTAZIONI DELLA CONNESSINA 26 IN FAMILIARI.,,
503,"TEST MIRATO.Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
504,MUTAZIONI DELLA CONNESSINA 30.,,
505,TEST COMPLETO.,,
506,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.1 ANALISI DI MUTAZIONI DEL DNA; Con Reverse Dot Blot (da 2 a 10 mutazioni).",,
507,MUTAZIONI DELLA CONNESSINA 30 IN FAMILIARI.,,
508,TEST MIRATO.,,
509,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
510,MUTAZIONI DI BRCA1.,,
511,TEST COMPLETO.,,
512,"Ricerca delle mutazioni del gene (con qualsiasi metodo) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp);91.38.1 RICERCA MUTAZIONE (DGGE) Ricerca heteroduplex (HA).",,
513,Si considera appropriata alla richiesta di questa analisi la seguente indicazione clinica: 1. accertamento dello stato di portatore di mutazioni della connessina 30 in soggetti in cui è stata identificata la mutazione nella famiglia.,,
514,Si considerano appropriate alla richiesta di queste analisi le seguenti indicazioni cliniche: 1. pazienti con storia familiare di tumore al seno o di tumore ovarico; 2. pazienti con insorgenza in età giovanile (< 40-45 anni) di tumore al seno o di tumore ovarico.,,
515,Si considera appropriata alla richiesta di questa analisi la seguente indicazione clinica: 1. accertamento dello stato di portatore di mutazioni di BRCA1 in soggetti in cui è stata identificata la mutazione nella famiglia.,,
516,"Si considera appropriata alla richiesta di questa analisi la seguente indicazione: 1. ricerca di delezioni e duplicazioni di BRCA1, su specifica indicazione dello specialista.",,
517,Si considerano appropriate alla richiesta di queste analisi le seguenti indicazioni cliniche: 1. pazienti con storia familiare di tumore al seno o di tumore ovarico; 2. pazienti con insorgenza in età giovanile (< 40-45 anni) di tumore al seno o di tumore ovarico.,,
518,Si considera appropriata alla richiesta di questa analisi la seguente indicazione clinica: 1. accertamento dello stato di portatore di mutazioni di BRCA2 in soggetti in cui è stata identificata la mutazione nella famiglia.,,
519,"Si considera appropriata alla richiesta di questa analisi la seguente indicazione: 1. ricerca di delezioni e duplicazioni di BRCA2, su specifica indicazione dello specialista.",,
520,"Si considera appropriata alla richiesta di questa analisi la seguente indicazione: 1. ricerca di delezioni e duplicazioni di geni, su specifica indicazione dello specialista.",,
521,Bollettino Ufficiale,,
522,– 19 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
523,CODICE,,
524,91.29.6,,
525,91.29.7,,
526,"DESCRIZIONE ANALISI QUANTITATIVA DI ACIDI NUCLEICI UMANI MEDIANTE PCR REAL TIME (RT-PCR) o tecniche assimilabili; (se impiegata nei casi per i quali è previsto uno specifico codice con la relativa tariffa non è possibile chiedere il rimborso in aggiunta al codice specifico) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali ; 91.29.4 ANALISI DI MUTAZIONE DEL DNA.",,
527,Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
528,"ANALISI DI SEQUENZA GENICHE MEDIANTE NEXT GENERATION SEQUENCING (NGS) e tecniche assimilabili; (se impiegata nei casi per i quali sono previsti uno o più specifici codici con le relative tariffe, non è possibile chiedere il rimborso in aggiunta.",,
529,"Se impiegata nei casi per i quali sono previsti uno o più specifici codici con le relative tariffe e questa/e risultano maggiori di 91.29.7 codificare 91.29.7) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali ; 91.29.4 ANALISI DI MUTAZIONE DEL DNA.",,
530,Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
531,TARIFFA in euro,,
532,MATERIALE BIOLOGICO,,
533,APPROPRIATEZZA PRESCRITTIVA,,
534,"225,00",,
535,Sangue periferico e altri materiali biologici,,
536,"Si considera appropriata alla richiesta di questa analisi la seguente indicazione: 1. analisi quantitiva di acidi nucleici, su specifica indicazione dello specialista.",,
537,"2.150,00",,
538,Sangue periferico e altri materiali biologici,,
539,"Si considera appropriata alla richiesta di questa analisi la seguente indicazione: 1. analisi di sequenze geniche, su specifica indicazione dello specialista, per pannelli di geni validati analiticamente e clinicamente.",,
540,PRESTAZIONI DI ONCO-EMATOLOGIA E ONCOLOGIA MOLECOLARE CODICE 91.2A.7,,
541,91.2A.8,,
542,91.2A.9,,
543,91.2B.1,,
544,91.2B.2,,
545,91.2B.3,,
546,91.2B.4,,
547,91.2B.5,,
548,DESCRIZIONE DUPLICAZIONE DI MLL Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
549,INV(16).,,
550,TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
551,INV(16).,,
552,TEST QUANTITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
553,MUTAZIONI CEBPA Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO; (Blocchi di circa 400 bp).,,
