Sentence Number;Text;Label
394;Rilevato che la S C I A  con contestuale richiesta di accreditamento sopra citata , rientra nella fattispecie prevista dalla d g r;0
395;1185 / X , e risulta pertanto accoglibile;0
396;Dato atto che la S C I A sopra indicata è stata positivamente verificata dalla competente commissione di vigilanza della A S L  di Brescia , con sopralluogo del 18 novembre 2013 , di cui al verbale della verifica n  29 / ADI/13 , allegato al provvedimento sotto indicato;0
397;Visto il provvedimento del 16 gennaio 2014 n  24 , adottato dalla ASL di Brescia e pervenuto in data 21 gennaio 2014 , prot   n  G1 2014 705 , di attestazione del possesso dei requisiti di accreditamento per l’ erogazione di prestazioni di A D I  per Cure Palliative;0
398;Ritenuto di accogliere la richiesta di accreditamento in oggetto , sussistendo tutti i requisiti previsti dalla normativa vigente;0
399;Stabilito che la ASL territorialmente competente deve provvedere , entro 90 giorni dall’ approvazione del presente atto , all’ effettuazione di una visita di vigilanza , al fine della verifica del mantenimento dei requisiti di accreditamento;0
400;Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d g r;0
401;3540/2012 , coincidente con la data del 20 febbraio 2014;0
402;Viste la l r;0
403;7 luglio 2008 , n  20 e la d g r   n  3 del 20 marzo 2013 « Costituzione delle Direzioni Centrali e Generali , incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura » , con la quale è stato affidato l’ incarico di Direttore Generale della Direzione Famiglia , Solidarietà sociale e Volontariato a Giovanni Daverio;0
404;Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ ente gestore interessato e alla A S L  territorialmente competente;0
405;DECRETA 1   di accreditare , con decorrenza dalla data di approvazione del presente atto , la seguente unità di offerta socio sanitaria di Assistenza Domiciliare Integrata ( A D I  ): denominata « Fondazione Guerini Frigerio Onlus » , con sede operativa in Orzinuovi , via V  Gambara n  20 , gestita dall’ ente « Fondazione Guerini Frigerio Onlus - per la Bassa Bresciana Occidentale » , con stessa sede , CF 86000210178 , per l’ erogazione di prestazioni di A D I  per Cure Palliative , sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Brescia , ed attestata con il provvedimento del 16 gennaio 2014 n  24;0
406;2   di provvedere all’ iscrizione dell ’ unità di offerta oggetto del presente accreditamento nell’ apposito Registro Regionale delle unità di offerta socio sanitarie accreditate;0
407;3   di stabilire che la ASL territorialmente competente deve provvedere , entro 90 giorni dall’ approvazione del presente atto , all’ effettuazione di una visita di vigilanza , al fine della verifica del mantenimento dei requisiti di accreditamento;0
408;4   di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ ente gestore interessato e alla ASL territorialmente competente;0
409;3 febbraio 2014 - n  644 Voltura dell’ accreditamento per la seguente unità di offerta socio sanitaria : R S A  La Sapienza con sede in Menaggio ( CO ) , via Nanc n  18 da : Cooperativa il Nuovo Focolare di S  Maria di Loreto con sede legale in Dizzasco ( CO ) , via Roma n  33 , CF 03133350136 al nuovo gestore : San Giacomo s r l   con sede legale in Milano , via Padre G B  Martini n  29 , CF 02644040137 ed iscrizione nell’ apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA , SOLIDARIETÀ SOCIALE E VOLONTARIATO Vista la d g r   del 30 maggio 2012 n  3540 « Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo »;0
410;Richiamato in particolare l’ Allegato A della sopra citata d g r   , che reca disposizioni circa le procedure da seguire nei casi di variazione dell’ Ente Gestore di una unità di offerta socio sanitaria accreditata;0
411;Vista altresì la d g r   del 20 dicembre 2013 n  1185 « Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’ esercizio 2014 »;0
412;Dato atto che , verificata la documentazione prodotta a corredo della richiesta di parere preventivo per la voltura presentata , nei modi previsti dalla citata d g r   n  3540/12 , dall’ Ente Gestore uscente e l’ Ente Gestore subentrante , la Direzione Generale Famiglia , Solidarietà Sociale e Volontariato ha rilasciato il parere positivo con nota prot n  16694 in data 12 dicembre 2013;0
413;Preso atto che , ottenuto il parere positivo della Direzione Generale intestata , il Legale Rappresentante del nuovo Ente Gestore subentrante , San Giacomo s r l   , CF 02644040137 , con nota protocollata in data 17 dicembre 2013 prot   n  16907 , sottoscritta anche dal Legale Rappresentante dell’ Ente Gestore uscente , ha presentato a Regione Lombardia richiesta di voltura dell’ accreditamento per l’ unità d’ offerta R S A  La Sapienza di Menaggio ( CO ) , Via Nanc n  18 , già accreditata con d g r   n  50 del 26 maggio 2010 e a contratto per n  43 posti letto;0
414;Ritenuto : −− di provvedere alla voltura di cui all’ oggetto e alla conseguente iscrizione nell’ apposito registro regionale , con decorrenza dalla data di adozione del presente decreto , sulla base delle verifiche compiute dalla competente ASL di Como , −− di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ ASL di Como , che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia , Solidarietà Sociale e Volontariato , −− di disporre che , entro 90 giorni dall’ adozione del presente atto , l’ ASL territorialmente competente effettui una visita di vigilanza , al fine di verificare la permanenza dei requisiti di accreditamento;0
415;Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d g r   n  3540/2012 , con scadenza in data 16 febbraio 2014;0
416;Visti la l r;0
417;7 luglio 2008 , n  20 ed i provvedimenti organizzativi della X Legislatura , adottati dalla Giunta regionale;0
418;Richiamata in particolare la d g r;0
419;20 marzo 2013 n  3 « Costituzione delle Direzioni Centrali e Generali , incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura » , con la quale è stato affidato l’ incarico di Direttore Generale;0
420;Bollettino Ufficiale;0
421;Serie Ordinaria n  5 - Venerdì 01 febbraio 2013;0
422;D G  Sanità D d g;0
423;28 gennaio 2013 - n  491 Rinnovo del gruppo di lavoro regionale per l’ accreditamento , l’ appropriatezza ed il controllo delle prestazioni sanitarie di ricovero ed ambulatoriali IL DIRETTORE GENERALE Richiamata la d g r   n  VIII/4799/07 in particolare dove riprende la circolare 37 / SAN/2003 che istituisce lo strumento « Interpello » quale percorso privilegiato per la interlocuzione diretta tra Uffici Regionali ed erogatori pubblici e/o privati sulle tematiche di « aree di codifica dubbia »;0
424;Richiamata la d g r   n  VIII/9014/09 ed in particolare il punto 14 del deliberato che prevede una stretta collaborazione con gli operatori del settore per monitorare le fasi di attuazione dei contenuti della d g r   stessa;0
425;Richiamato il decreto del Direttore generale Sanità n  4304 del 13 maggio 2011 « Costituzione del gruppo di lavoro regionale per l’ accreditamento , appropriatezza e il controllo delle prestazioni sanitarie di ricovero ed ambulatoriali »;0
426;Ritenuto di dover rinnovare il gruppo di lavoro regionale per l’ accreditamento , appropriatezza e il controllo delle prestazioni sanitarie di ricovero ed ambulatoriali per dare pieno adempimento alla condivisione dei percorsi relativi alle modalità di codifica e all’ accreditamento;0
427;Ritenuto di nominare quali componenti del gruppo di lavoro regionale : a ) i componenti di nomina regionale : • Dott;0
428;Luca Merlino , Dirigente U o;0
429;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione Generale Sanità;0
430;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità;0
431;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità , con funzioni di segreteria;0
432;Gianluca Avanzi , Direttore Accreditamento , Qualità , Sicurezza Farmacia Fondazione Don Carlo Gnocchi Onlus b ) i Rappresentanti designati dall’ Associazione Assolombarda : • Dott;0
433;Dario Beretta , Direttore generale Istituto Clinico San Siro - Milano;0
434;Alessandro Signorini , Direttore Sanitario Fondazione Poliambulanza - Brescia;0
435;Angelo Gironi , Presidente ANISAP;0
436;Alberto Ambrosio , Dirigente Medico Direzione Sanitaria IRCCS San Raffaele - Milano;0
437;( i soggetti sunnominati , a seconda delle tematiche , potranno farsi coadiuvare da un referente tecnico );0
438;c ) i componenti designati delle Direzioni generali coinvolte , in rappresentanza di tutte le ASL e le Aziende Ospedaliere e Fondazioni pubbliche : • Dott ssa Roberta Chiesa , Direttore Servizio Autorizzazione e Accreditamento Acquisto e Controllo delle Prestazioni Sanitarie - ASL di Brescia;0
439;Aldo Bellini , Direttore Sanitario - ASL Milano 2;0
440;Gaetano Elli , Direttore Sanitario di Presidio A O  Ospedale Niguarda Cà Granda;0
441;Ritenuto di individuare quale coordinatore del Gruppo di lavoro il dott;0
442;Luca Merlino , Dirigente U o;0
443;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità o un suo delegato;0
444;Dato atto che l’ attività del gruppo di lavoro avrà termine alla fine della vigente legislatura;0
445;Verificato che l’ attività del Gruppo di lavoro non comporta alcun onere di spesa , in quanto non saranno attribuiti compensi ai componenti;0
446;Ritenuto di pubblicare il seguente provvedimento sul sito web della D g;0
447;Sanità;0
448;Vista la legge regionale 7 luglio 2008 , n  20 e successive modifiche ed integrazioni , nonché i provvedimenti organizzativi della IX legislatura;0
449;Preso atto della validazione resa dal CODIGEC nella seduta del;0
450;Visto il decreto del Segretario generale del 6 marzo 2001 n  4907 , ad oggetto : « Modalità per la costituzione e il funzionamento dei gruppi di lavoro pluridisciplinari e interfunzionali , ai sensi dell’ art  26 della l r;0
451;10 marzo 1995 , n  10 »;0
452;Vista la l r;0
453;7 luglio 2008 , n  20 nonché i provvedimenti organizzativi della IX legislatura;0
454;DECRETA Per le motivazioni indicate in premessa : 1   di rinnovare il Gruppo di Lavoro Regionale per l’ Accreditamento , l’ Appropriatezza e il Controllo delle Prestazioni Sanitarie di Ricovero ed Ambulatoriali provvedendo alla conferma dei suoi componenti;0
455;2   di nominare quali componenti del Gruppo di lavoro regionale : a ) i componenti di nomina regionale : • Dott;0
456;Luca Merlino , Dirigente U o;0
457;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità;0
458;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità;0
459;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo – Direzione Generale Sanità con funzioni di segreteria;0
460;Gianluca Avanzi , Direttore Accreditamento , Qualità , Sicurezza Farmacia Fondazione Don Carlo Gnocchi Onlus   b ) i Rappresentanti designati dall’ Associazione Assolombarda : • Dott;0
461;c ) i componenti designati delle Direzioni generali coinvolte , in rappresentanza di tutte le ASL le Aziende e Fondazioni pubbliche : • Dott ssa Roberta Chiesa , irettore Servizio Autorizzazione e Accreditamento , Acquisto e Controllo delle Prestazioni Sanitarie - ASL di Brescia;0
462;Gaetano Elli , Direttore Sanitario di Presidio A O  Ospedale Niguarda Cà Granda 3   di stabilire che le funzioni di coordinatore del Gruppo di lavoro sono svolte dal dott;0
463;Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità o da un suo delegato;0
464;4   di stabilire che la validità del gruppo di lavoro sia compresa tra la data dell’ 1 gennaio 2013 ed il termine della vigente legislatura;0
465;Bollettino Ufficiale;0
466;– 63 – Serie Ordinaria n  5 - Venerdì 01 febbraio 2013;0
467;5   di dare atto che l’ attività del Gruppo di lavoro non comporta alcun onere di spesa , in quanto non saranno attribuiti compensi ai componenti;0
468;6   di procedere alla pubblicazione del presente provvedimento sul Bollettino Ufficiale di Regione Lombardia e sul sito web della Direzione generale Sanità;0
469;Bollettino Ufficiale;0
470;Serie Ordinaria n  4 - Mercoledì 23 gennaio 2013 Contributo pubblico;0
471;D ) ATTI DIRIGENZIALI;0
472;Beneficiario;0
473;Giunta regionale;0
474;Politecnico di Milano - Polo Territoriale di Como;0
475;Provincia di Como;0
476;Centro di cultura scientifica “ Alessandro Volta ”;0
477;D G  Sistemi verdi e paesaggio D d u o;0
478;15 gennaio 2013 - n  153 Programma operativo di cooperazione transfrontaliera ItaliaSvizzera 2007 - 2013;0
479;Presa d’ atto delle decisioni assunte dal comitato di pilotaggio nella seduta del 2 ottobre 2012 relativamente ai nuovi piani finanziari dei progetti ordinari « COMFIT » e « TI-CO     nsumo »;0
480;Pubblicazione elenco beneficiari ai sensi dell’ art  7 , paragrafo 2 , lettera d ) del regolamento ( CE ) n  1828/2006;0
481;Visti :;0
482;LA DIRIGENTE DELL’ UNITÀ ORGANIZZATIVA PROGETTI INTEGRATI E PAESAGGIO;0
483;• il regolamento ( CE ) n  1080/2006 relativo al Fondo europeo di sviluppo regionale ( FESR );0
484;• il regolamento ( CE ) n  1083/2006 recante disposizioni generali sui fondi strutturali;0
485;tà di applicazione dei regolamenti ( CE ) n  1080/2006 e 1083/2006;0
486;• il programma operativo di cooperazione transfrontaliera Italia-Svizzera 2007 - 2013 ( di seguito denominato « Programma » ) adottato dalla Commissione Europea con Decisione C ( 2007 ) 6556 del 20 dicembre 2007;0
487;• la d g r   n  VIII/8257 del 22 ottobre 2008 di presa d’ atto del Programma;0
488;Preso atto che il Programma è finanziato al 75 % da risorse comunitarie messe a disposizione dal FESR e al 25 % da risorse statali messe a disposizione dal Fondo di rotazione ex lege n  183/1987;0
489;Visto il d d u o   n  2323 del 10 marzo 2008 di composizione e nomina del Comitato di Sorveglianza del Programma , come modificato dal d d u o   n  4932 del 19 maggio 2009 e n  1854 del 2 marzo 2011;0
490;Considerato che le decisioni in ordine alla selezione dei progetti da finanziare spettano al Comitato di Pilotaggio;0
491;Visto il d d u o   n  3367 del 4 aprile 2008 di composizione e nomina del Comitato di Pilotaggio del Programma , così come modificato dai d d u o   n  8802 del 6 agosto 2008 , n  2631 del 18 marzo 2009 , n  5906 del 14 giugno 2010 e n  2557 del 26 marzo 2012;0
492;Richiamati con riferimento ai progetti finanziati nell’ ambito della seconda finestra di valutazione :;0
493;ne dell’ aggiornamento del primo invito ( di cui al d d u o   n  5654 del 29 maggio 2008 ) alla presentazione di progetti ordinari , fissando la scadenza al 29 ottobre 2009 ( seconda finestra di valutazione );0
494;• il d d u o   n  9676 del 30 settembre 2010 relativo alla presa d’ atto delle decisioni assunte dal Comitato di Pilotaggio nelle sedute del 22 febbraio 2010 , 29 marzo 2010 e 15 giugno 2010 in merito alle selezione e finanziamento dei progetti ordinari pervenuti entro il 29 ottobre 2009;0
495;zione dell’ elenco dei beneficiari del contributo pubblico concesso ai progetti di cui al sopra richiamato d d u o   n  9676 , tra cui il progetto COMFIT - Comunicazione Multimediale Integrata per la Filiera del Turismo;0
496;Dato atto che il partenariato del progetto COMFIT è il seguente : 1;0
497;Politecnico di Milano - Polo Territoriale di Como ( Capofila italiano ) 2;0
498;Provincia di Como 3;0
499;Centro di cultura scientifica « Alessandro Volta »;0
500;Dato atto altresì che il piano finanziario originario del progetto « COMFIT » era il seguente :;0
501;Autofinanziamento;0
502;Tenuto conto che : • il Capofila italiano Politecnico di Milano - Polo Territoriale di Como ha presentato , con nota del 21 settembre 2012 ( protocollo in ingresso di Regione Lombardia n  F1 2012 0018441 del 25 settembre 2012 ) , richiesta di modifica del budget progettuale consistente nello spostamento di una parte del budget originariamente attribuito alla Provincia di Como a favore dei soggetti Politecnico di Milano - Polo Territoriale di Como e Centro di cultura scientifica « Alessandro Volta »;0
503;• al momento della presentazione della richiesta di modifica la Provincia di Como aveva rendicontato complessivamente € 10 094,12 a fronte di un budget originario di € 123 440,00;0
504;• la modifica consiste nella cessione di una quota del budget della Provincia di Como a favore del Politecnico di Milano - Polo Territoriale di Como ( per un importo di € 82 496,21 ) e a favore del Centro di cultura scientifica « Alessandro Volta » ( per un importo pari a € 26 276,28 ) , determinando altresì una riduzione del costo totale di progetto per un importo pari a € 4 573,39 ( equivalente alla riduzione dell’ autofinanziamento complessivo del progetto );0
505;• la quota di budget della Provincia di Como ceduta agli altri soggetti del progetto non è pari alla differenza tra il proprio budget e la quota rendicontata ( € 113 345,88 ) , bensì pari a € 108 772,49;0
506;• la richiesta è motivata dalla difficoltà operativa della Provincia di Como di proseguire le attività di propria competenza per cause indipendenti dal progetto stesso e legate invece all’ incertezza normativa relativa all’ esistenza dell’ ente provinciale e al conseguente commissariamento dell’ ente;0
507;• la quota di contributo pubblico concesso al progetto resta invariato ( € 514 000,00 );0
508;• il Comitato di Pilotaggio ha preso visione e discusso la richiesta di modifica sopra descritta nella seduta del 2 ottobre 2012 , approvando un nuovo piano finanziario come di seguito riportato : Beneficiario;0
509;Autofinanziamento;0
510;Contributo pubblico;0
511;Politecnico di Milano - Polo Territoriale di Como;0
512;Provincia di Como;0
513;Centro di cultura scientifica “ Alessandro Volta ”;0
514;Richiamati con riferimento ai progetti che compongono i PIT : • il d d u o   n  5654 del 29 maggio 2008 di pubblicazione dell’ invito alla presentazione di manifestazioni di interesse per i PIT;0
515;• il d d u o   n  772 del 31 gennaio 2011 di presa d’ atto delle decisioni del Comitato di Pilotaggio in merito alla selezione dei PIT e al finanziamento dei progetti che compongono i PIT;0
516;• il d d u o   n  2258 dell’ 11 marzo 2011 di pubblicazione dell’ elenco dei beneficiari del contributo pubblico concesso ai progetti appartenenti ai PIT approvati , tra cui il PIT « Saperi Alpini ( SAPALP ): percorsi di sostenibilità lungo lo spartiacque comasco - ticinese »;0
517;Considerato che il PIT SAPALP si compone di quattro progetti , tra cui il progetto TI-CO     nsumo : saper promuovere , valorizzare , conoscere le eccellenze agroalimentari , il cui partenariato è il seguente : 1;0
518;Provincia di Como ( Capofila italiano ) 2;0
519;Comunità Montana Triangolo Lariano 3;0
520;Comunità Montana Lario Intelvese;0
521;Bollettino Ufficiale;0
522;– 3 – Serie Ordinaria n  4 - Mercoledì 23 gennaio 2013;0
523;Comunità Montana Valli del Lario e del Ceresio 5;0
524;Associazione L’ isola che c’ è 6;0
525;LARIOFERIE 7;0
526;Consorzio per la tutela dei prodotti tradizionali della provincia di Como;0
527;Dato atto che il piano finanziario originario del progetto TICO … nsumo era il seguente : Beneficiario;0
528;Autofinanziamento;0
529;Contributo pubblico;0
530;Provincia di Como;0
531;Comunità Montana Triangolo Lariano;0
532;Comunità Montana Lario Intelvese;0
533;Comunità Montana Valli del Lario e del Ceresio;0
534;Associazione L’ isola che non c’ è;0
535;LARIOFERIE;0
536;Consorzio per la tutela dei prodotti tradizionali della provincia di Como;0
537;Tenuto conto che : • il Capofila italiano ha presentato , con nota prot   n  30857 del 4 luglio 2012 ( protocollo in ingresso di Regione Lombardia n  F1 2012 0012794 del 5 luglio 2012 ) , richiesta di modifica finanziaria a causa del recesso del soggetto Consorzio per la tutela dei prodotti tradizionali della provincia di Como dovuto al differente contesto economico rispetto al momento della presentazione del progetto;0
538;• la proposta di modifica consiste nel subentro del soggetto LARIO FIERE nelle attività originariamente attribuite al Consorzio , mantenendo invariato l’ importo di contributo pubblico assegnato al progetto e determinando un aumento del costo totale di progetto a causa dell’ incremento della quota di autofinanziamento a carico del soggetto LARIO FIERE ( incremento di € 14 885,10 );0
539;• la quota di contributo pubblico concesso al progetto resta invariato ( € 669 950,00 );0
540;• il Comitato di Pilotaggio ha preso visione e discusso la richiesta di modifica sopra descritta nella seduta del 2 ottobre 2012 , approvando un nuovo piano finanziario come di seguito riportato : Beneficiario;0
541;Autofinanziamento;0
542;Contributo pubblico;0
543;Provincia di Como;0
544;Comunità Montana Triangolo Lariano;0
545;Comunità Montana Lario Intelvese;0
546;Comunità Montana Valli del Lario e del Ceresio;0
547;Associazione L’ isola che non c’ è;0
548;LARIOFERIE;0
549;Consorzio per la tutela dei prodotti tradizionali della provincia di Como TOTALE;0
550;Considerati gli obblighi derivanti dall’ art  7 , paragrafo 2 , lettera d ) del Regolamento ( CE ) n  1828/2006 in merito alla pubblicazione dell’ elenco dei beneficiari , delle denominazioni delle operazioni e dell’ importo del finanziamento pubblico destinato alle operazioni;0
551;Visti : • i Provvedimenti Organizzativi della IX Legislatura , in particolare la d g r   n  IX/48 del 26 maggio 2010 ( « II Provvedimento Organizzativo 2010 » ) che assegna alla Direzione generale Sistemi Verdi e Paesaggio , in particolare all’ Unità organizzativa Progetti integrati e Paesaggio , l’ incarico di Autorità di Gestione del Programma;0
552;• la legge regionale 31 marzo 1978 , n  34 e successive modifiche ed integrazioni « Norme sulle procedure della programmazione , sul bilancio e sulla contabilità della;0
553;Regione » , nonché il regolamento di contabilità e la legge regionale di approvazione del bilancio di previsione dell’ anno in corso;0
554;• la legge regionale 7 luglio 2008 , n  20 « Testo Unico delle leggi regionali in materia di organizzazione e personale »;0
555;DECRETA 1;0
556;Di prendere atto della decisione assunta dal Comitato di Pilotaggio del Programma nella seduta del 2 ottobre 2012 relativamente alla modifica del piano finanziario del progetto COMFIT - Comunicazione Multimediale Integrata per la Filiera del Turismo descritta in narrativa;0
557;Di dare atto che il nuovo piano finanziario del progetto COMFIT è il seguente : Beneficiario;0
558;Autofinanziamento;0
559;Contributo pubblico;0
560;Politecnico di Milano - Polo Territoriale di Como;0
561;Provincia di Como;0
562;Centro di cultura scientifica “ Alessandro Volta ”;0
563;Di prendere atto della decisione assunta dal Comitato di Pilotaggio del Programma nella seduta del 2 ottobre 2012 relativamente alla modifica del piano finanziario del progetto TI-CO     nsumo : saper promuovere , valorizzare , conoscere le eccellenze agroalimentari descritta in narrativa;0
564;Di dare atto che il nuovo piano finanziario del progetto TICO     nsumo è il seguente : Beneficiario;0
565;Autofinanziamento;0
566;Contributo pubblico;0
567;Provincia di Como;0
568;Comunità Montana Triangolo Lariano;0
569;Comunità Montana Lario Intelvese;0
570;Comunità Montana Valli del Lario e del Ceresio;0
571;Associazione L’ isola che non c’ è;0
572;LARIOFERIE;0
573;Consorzio per la tutela dei prodotti tradizionali della provincia di Como TOTALE;0
574;Di disporre la pubblicazione del presente provvedimento sul Bollettino Ufficiale di Regione Lombardia e sul sito ufficiale del Programma ( www interreg-italiasvizzera it );0
575;Di dare atto che la pubblicazione di cui al punto 5 esaurisce gli obblighi informativi e pubblicitari previsti dall’ art  7 , paragrafo 2 , lettera d ) del regolamento ( CE ) n  1828/2006;0
576;Di trasmettere il presente provvedimento alle altre Amministrazioni corresponsabili del Programma nonché all’ Autorità di Certificazione e all’ Autorità di Audit del Programma;0
577;La dirigente Benedetta Sevi;0
578;Bollettino Ufficiale;0
579;Serie Ordinaria n  5 - Lunedì 28 gennaio 2013;0
580;D G  Ambiente , energia e reti D d g;0
581;23 gennaio 2013 - n  353 Valutazione della prima fase della sperimentazione del deflusso minimo vitale nel torrente Belviso e determinazioni sulle relative modalità di prosecuzione IL DIRETTORE GENERALE Visti : • la direttiva del Parlamento Europeo e del Consiglio n  2000/60 / CE del 23 ottobre 2000 , che istituisce un quadro per l’ azione comunitaria in materia di acque , prevedendo il raggiungimento entro il 2015 di obiettivi di qualità ecologica per le acque superficiali;0
582;• la deliberazione del Comitato Istituzionale dell’ Autorità di Bacino del Fiume Po n  1 del 24 febbraio 2010 , con la quale è stato adottato il Piano di Gestione del distretto idrografico del bacino del fiume Po , con valore di Piano territoriale di settore e qualità di strumento conoscitivo , normativo e tecnico - operativo mediante il quale sono pianificate e programmate le misure finalizzate a garantire la corretta utilizzazione delle acque ed il perseguimento degli scopi e degli obiettivi ambientali stabiliti agli artt;0
583;1 e 4 della Direttiva 2000/60 / CE;0
584;• il decreto del Ministero dell’ Ambiente e della Tutela del Territorio e del Mare n  260 del 8 novembre 2010 , con il quale sono stati approvati criteri tecnici per la classificazione dello stato dei corpi idrici superficiali ed in particolare il relativo Allegato 1 « Monitoraggio e classificazione delle acque in funzione degli obiettivi di qualità ambientale »;0
585;Richiamati : • l’ atto di indirizzi per la politica di uso e tutela delle acque della Regione Lombardia , approvato dal Consiglio regionale con deliberazione Consiliare n  VII/1048 del 27 luglio 2004;0
586;• il regolamento regionale n  2 del 24 marzo 2006 « Disciplina sull’ uso delle acque superficiali e sotterranee , dell’ utilizzo delle acque a uso domestico , del risparmio idrico e del riutilizzo dell’ acqua »;0
587;• il programma di tutela e usi delle acque in Lombardia ( PTUA ) , approvato dalla Giunta Regionale con dgr n  VIII/2244 del 29 marzo 2006;0
588;• le direttive per l’ adeguamento delle derivazioni al rilascio del deflusso minimo vitale , approvate dalla Giunta regionale con d g r   n  VIII/6232 del 19 dicembre 2007;0
589;• le linee Guida per l’ avvio di sperimentazioni sul deflusso minimo vitale in tratti del reticolo idrico naturale regionale , approvate con decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n  9001 del 8 agosto 2008;0
590;• il decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n  11133 del 9 ottobre 2008 , con il quale è stato istituito il Comitato di valutazione dei progetti di sperimentazione del deflusso minimo vitale ed il successivo decreto del Direttore Generale della Direzione Ambiente , Energia e Reti n  7210 del 20 luglio 2010 , con il quale , a seguito di riassetto organizzativo , ne è stata rinnovata la composizione;0
591;Dato atto che da parte della Società Edison s p a  con istanza ASEE / Gidr-GV / Z356 del 23 aprile 2009 , successivamente integrata con nota ASEE / Gidr / Pol2-GV / Z499 del 2 luglio 2009 , è stata presentata la proposta di sperimentazione del deflusso minimo vitale nel Torrente Belviso nel tratto compreso tra l’ invaso di Frera e l’ invaso di Ganda ( impianto idroelettrico « Ganda » );0
592;Richiamati : • il decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n  8190 del 6 agosto 2009 con il quale la proposta sperimentale è stata approvata con prescrizioni;0
593;• il decreto del Dirigente della Struttura Usi delle Acque e Ciclo integrato dei Rifiuti n  9822 del 1 ottobre 2009 con il quale è stato formalmente istituito il Tavolo tecnico con funzione di controllo e verifica dei risultati ed il successivo decreto del Dirigente della Struttura Regolamentazione e Gestione degli Usi delle Acque , Sicurezza degli Invasi n  2726 del 30 marzo 2012 con il quale ne è stata aggiornata la composizione;0
594;sione della sperimentazione al tratto terminale del Torrente Belviso , compreso tra l’ invaso di Ganda e l’ immissione in Adda ( impianto idroelettrico « Belviso » );0
595;Preso atto che la sperimentazione nel suo complesso interessa i seguenti corpi idrici classificati dal Piano di Gestione del Distretto Idrografico del Po :;0
596;Dato atto che le derivazioni Edison presenti nel bacino della Val Belviso e nei Torrenti Bondone e Caronella sono le seguenti : ID PRESA 1;0
597;NOME CORSO D’ ACQUADERIVAZIONE Torrente Belviso Diga di Frera;0
598;IMPIANTO IDROELETTRICO INTERESSATO Ganda;0
599;DMV SPERIMENTALE 0;0
600;Valle Soffia;0
601;Valle Nembra;0
602;Valle del Latte;0
603;Valle Carognera;0
604;Valle Magnola Valle Frotto Valle Lavazza Valle Aperta Torrente Belviso Diga di Ganda Torrente Aprica Torrente Caronella presa superiore Torrente Caronella presa inferiore Torrente Bondone presa superiore Torrente Bondone presa inferiore;0
605;fluente ( media annua 36 l / s ) fluente ( media annua 24 l / s ) 0 fluente ( media annua 39 l / s ) 0 0 0 0;0
606;Belviso;0
607;147 l / s;0
608;Belviso;0
609;30 l / s;0
610;Belviso;0
611;20 l / s;0
612;Belviso;0
613;16 l / s;0
614;Precisato , con riferimento alla tabella precedente , che :;0
615;• gli atti relativi alla sperimentazione non sono intervenuti;0
616;sui mancati rilasci di DMV dalle derivazioni nn;0
617;4 - 6 - 7 - 8 - 911 , limitandosi a recepire quanto stabilito in sede di adeguamento degli impianti ed in applicazione del principio di compensazione da parte del precedente decreto del Dirigente dell’ Unità Organizzativa STER Sondrio n  15499 del 22 dicembre 2008;0
618;Bollettino Ufficiale;0
619;– 37 – Serie Ordinaria n  5 - Lunedì 28 gennaio 2013;0
620;• lo stesso dduo 15499/2008 prevedeva l’ applicazione;0
621;del principio di compensazione anche per le derivazioni nn;0
622;• le derivazioni nn;0
